name,specialty,contact_info,npi,location,years_experience
Dr. Vernon Hernandez,INFECTIOUS DISEASE,.vernon.hernandez@lakejoseph.health.org,1003001645,"Lake Joseph, NY",21
Dr. Morgan Chapman,INFECTIOUS DISEASE,.morgan.chapman@jacksonville.health.org,1003001645,"Jacksonville, MA",24
Dr. Wesley Hernandez,INFECTIOUS DISEASE,.wesley.hernandez@portlauren.health.org,1003001645,"Port Lauren, PW",13
Dr. Jenna Fisher,NURSE PRACTITIONER,.jenna.fisher@bellfurt.health.org,1003001678,"Bellfurt, IN",11
Dr. Autumn Haley,NURSE PRACTITIONER,.autumn.haley@northkristytown.health.org,1003001678,"North Kristytown, FM",28
Dr. Melissa Vazquez,NURSE PRACTITIONER,.melissa.vazquez@lakealicia.health.org,1003001678,"Lake Alicia, PW",34
Dr. Matthew Shepard,NURSE PRACTITIONER,.matthew.shepard@frankchester.health.org,1003001678,"Frankchester, GA",11
Dr. Heather Fernandez,NURSE PRACTITIONER,.heather.fernandez@berrymouth.health.org,1003001678,"Berrymouth, CT",34
Dr. Erika Walker,ORTHOPEDIC SURGERY,.erika.walker@portjason.health.org,1003001785,"Port Jason, IN",25
Dr. Charles Thomas,CLINICAL SOCIAL WORKER,.charles.thomas@lakeemmaport.health.org,1003001819,"Lake Emmaport, FM",25
Dr. Gregory Ball,CERTIFIED CLINICAL NURSE SPECIALIST (CNS),.gregory.ball@jeffersonland.health.org,1003001843,"Jeffersonland, PA",18
